,,,,,,,,,,
survey_id,age,occur_date,date_granted,signup_date,link_click_date,location,credit_type,show_credit,penalty_credit,comments
24131,19.93,18 January 2023 09:00,13 January 2023 18:45,13 January 2023 16:40,13 January 2023 16:41,Online,Participated,0.5,0,
25272,18.96,18 January 2023 09:00,13 January 2023 17:29,13 January 2023 17:17,13 January 2023 17:17,Online,Participated,0.5,0,
24265,20.25,18 January 2023 09:00,13 January 2023 16:58,13 January 2023 16:46,13 January 2023 16:46,Online,Participated,0.5,0,
24295,20.57,18 January 2023 09:00,14 January 2023 22:47,13 January 2023 17:02,14 January 2023 22:40,Online,Participated,0.5,0,
25316,19.55,18 January 2023 09:00,13 January 2023 17:28,13 January 2023 17:17,13 January 2023 17:17,Online,Participated,0.5,0,
24318,24.09,18 January 2023 09:00,13 January 2023 17:23,13 January 2023 17:11,13 January 2023 17:11,Online,Participated,0.5,0,
25337,20.61,18 January 2023 09:00,13 January 2023 17:02,13 January 2023 16:50,13 January 2023 16:50,Online,Participated,0.5,0,
24330,24.78,18 January 2023 09:00,13 January 2023 17:30,13 January 2023 16:35,13 January 2023 16:35,Online,Participated,0.5,0,
25750,18.88,18 January 2023 09:00,14 January 2023 12:28,13 January 2023 16:10,13 January 2023 16:10,Online,Participated,0.5,0,
25368,20.43,18 January 2023 09:00,17 January 2023 18:14,13 January 2023 16:46,17 January 2023 18:05,Online,Participated,0.5,0,
25188,20.25,19 January 2023 09:15,17 January 2023 00:35,16 January 2023 13:15,17 January 2023 00:26,Online,Participated,0.5,0,
25189,20.24,19 January 2023 09:15,18 January 2023 17:33,17 January 2023 11:39,18 January 2023 17:16,Online,Participated,0.5,0,
24181,20.23,19 January 2023 09:15,16 January 2023 21:18,16 January 2023 17:02,16 January 2023 21:10,Online,Participated,0.5,0,
25700,19.06,19 January 2023 09:15,19 January 2023 17:36,16 January 2023 22:53,,Online,No-Show (Excused),0,0,
25197,18.88,19 January 2023 09:15,18 January 2023 21:47,17 January 2023 15:59,18 January 2023 21:21,Online,Participated,0.5,0,
25702,19.39,19 January 2023 09:15,17 January 2023 11:13,17 January 2023 10:57,17 January 2023 10:57,Online,Participated,0.5,0,
25210,18.75,19 January 2023 09:15,19 January 2023 01:14,17 January 2023 15:47,19 January 2023 01:04,Online,Participated,0.5,0,
24201,27.71,19 January 2023 09:15,17 January 2023 18:36,16 January 2023 19:44,17 January 2023 18:26,Online,Participated,0.5,0,
24202,20.32,19 January 2023 09:15,18 January 2023 23:06,18 January 2023 01:53,18 January 2023 01:54,Online,Participated,0.5,0,
24124,20.6,19 January 2023 09:15,19 January 2023 17:36,17 January 2023 17:18,17 January 2023 17:19,Online,No-Show (Excused),0,0,
25213,19.15,19 January 2023 09:15,16 January 2023 11:36,16 January 2023 11:28,16 January 2023 11:28,Online,Participated,0.5,0,
25215,20.19,19 January 2023 09:15,17 January 2023 03:26,17 January 2023 03:16,17 January 2023 03:16,Online,Participated,0.5,0,
25217,21.45,19 January 2023 09:15,16 January 2023 21:52,16 January 2023 21:41,16 January 2023 21:41,Online,Participated,0.5,0,
25705,19.1,19 January 2023 09:15,19 January 2023 17:36,16 January 2023 18:13,,Online,No-Show (Excused),0,0,
24211,21.05,19 January 2023 09:15,16 January 2023 22:22,16 January 2023 22:11,16 January 2023 22:11,Online,Participated,0.5,0,
24128,21.31,19 January 2023 09:15,17 January 2023 20:57,17 January 2023 03:33,17 January 2023 03:33,Online,Participated,0.5,0,
25710,20.7,19 January 2023 09:15,19 January 2023 17:36,16 January 2023 15:20,17 January 2023 18:18,Online,No-Show (Excused),0,0,
25231,18.85,19 January 2023 09:15,17 January 2023 15:53,17 January 2023 15:41,17 January 2023 15:41,Online,Participated,0.5,0,
25835,20.25,19 January 2023 09:15,17 January 2023 15:33,17 January 2023 15:21,17 January 2023 15:21,Online,Participated,0.5,0,
24234,22.92,19 January 2023 09:15,19 January 2023 17:36,17 January 2023 22:08,17 January 2023 22:15,Online,No-Show (Excused),0,0,
25715,20.19,19 January 2023 09:15,16 January 2023 17:52,16 January 2023 17:29,16 January 2023 17:31,Online,Participated,0.5,0,
24236,20.45,19 January 2023 09:15,16 January 2023 19:51,16 January 2023 19:39,16 January 2023 19:40,Online,Participated,0.5,0,
25716,30.57,19 January 2023 09:15,17 January 2023 16:53,16 January 2023 14:34,17 January 2023 15:58,Online,Participated,0.5,0,
25770,20.35,19 January 2023 09:15,18 January 2023 22:19,17 January 2023 00:20,17 January 2023 00:20,Online,Participated,0.5,0,
24235,22.45,19 January 2023 09:15,18 January 2023 15:46,18 January 2023 15:37,18 January 2023 15:37,Online,Participated,0.5,0,
24240,19.76,19 January 2023 09:15,19 January 2023 17:36,16 January 2023 19:40,,Online,No-Show (Excused),0,0,
25251,19.03,19 January 2023 09:15,17 January 2023 19:13,17 January 2023 18:53,17 January 2023 18:53,Online,Participated,0.5,0,
25252,18.94,19 January 2023 09:15,17 January 2023 23:32,17 January 2023 23:25,17 January 2023 23:25,Online,Participated,0.5,0,
25256,21.22,19 January 2023 09:15,16 January 2023 11:01,16 January 2023 10:46,16 January 2023 10:48,Online,Participated,0.5,0,
24242,20.15,19 January 2023 09:15,19 January 2023 17:36,17 January 2023 15:25,18 January 2023 01:40,Online,No-Show (Excused),0,0,
24263,19.95,19 January 2023 09:15,18 January 2023 21:13,17 January 2023 21:46,18 January 2023 16:04,Online,Participated,0.5,0,
25433,18.8,19 January 2023 09:15,16 January 2023 22:24,16 January 2023 22:14,16 January 2023 22:14,Online,Participated,0.5,0,
25722,19.34,19 January 2023 09:15,17 January 2023 17:24,17 January 2023 17:15,17 January 2023 17:15,Online,Participated,0.5,0,
24139,20.05,19 January 2023 09:15,18 January 2023 18:05,18 January 2023 17:48,18 January 2023 17:49,Online,Participated,0.5,0,
25290,19.33,19 January 2023 09:15,17 January 2023 16:46,17 January 2023 16:32,17 January 2023 16:32,Online,Participated,0.5,0,
25291,21.13,19 January 2023 09:15,17 January 2023 13:52,17 January 2023 13:44,17 January 2023 13:44,Online,Participated,0.5,0,
25292,19.13,19 January 2023 09:15,18 January 2023 16:15,16 January 2023 19:00,16 January 2023 19:00,Online,Participated,0.5,0,
24450,24.68,19 January 2023 09:15,17 January 2023 11:10,17 January 2023 10:58,17 January 2023 10:58,Online,Participated,0.5,0,
24286,58.59,19 January 2023 09:15,17 January 2023 09:42,17 January 2023 09:25,17 January 2023 09:25,Online,Participated,0.5,0,
24142,22.46,19 January 2023 09:15,19 January 2023 17:36,17 January 2023 17:31,,Online,No-Show (Excused),0,0,
25731,18.77,19 January 2023 09:15,18 January 2023 23:35,16 January 2023 22:53,16 January 2023 22:53,Online,Participated,0.5,0,
24298,20.88,19 January 2023 09:15,17 January 2023 18:04,17 January 2023 17:56,17 January 2023 17:56,Online,Participated,0.5,0,
24300,21.36,19 January 2023 09:15,19 January 2023 17:36,17 January 2023 21:06,,Online,No-Show (Excused),0,0,
24301,20.32,19 January 2023 09:15,17 January 2023 20:07,16 January 2023 17:43,17 January 2023 19:58,Online,Participated,0.5,0,
25740,19.01,19 January 2023 09:15,17 January 2023 02:51,17 January 2023 02:42,17 January 2023 02:42,Online,Participated,0.5,0,
24312,19.91,19 January 2023 09:15,16 January 2023 19:58,16 January 2023 19:41,16 January 2023 19:41,Online,Participated,0.5,0,
25315,19.35,19 January 2023 09:15,16 January 2023 11:49,16 January 2023 11:38,16 January 2023 11:38,Online,Participated,0.5,0,
25324,18.78,19 January 2023 09:15,16 January 2023 20:24,16 January 2023 20:15,16 January 2023 20:15,Online,Participated,0.5,0,
24317,20.23,19 January 2023 09:15,19 January 2023 17:36,16 January 2023 11:40,16 January 2023 22:20,Online,No-Show (Excused),0,0,
24508,20.22,19 January 2023 09:15,16 January 2023 22:26,16 January 2023 22:12,16 January 2023 22:18,Online,Participated,0.5,0,
25326,20.48,19 January 2023 09:15,19 January 2023 17:36,18 January 2023 21:59,18 January 2023 21:59,Online,No-Show (Excused),0,0,
24323,21,19 January 2023 09:15,19 January 2023 17:36,16 January 2023 22:26,17 January 2023 23:34,Online,No-Show (Excused),0,0,
25333,19.04,19 January 2023 09:15,16 January 2023 17:42,16 January 2023 17:30,16 January 2023 17:30,Online,Participated,0.5,0,
25340,20.01,19 January 2023 09:15,16 January 2023 17:39,16 January 2023 13:52,16 January 2023 13:52,Online,Participated,0.5,0,
24328,25.26,19 January 2023 09:15,17 January 2023 12:24,16 January 2023 17:19,17 January 2023 11:57,Online,Participated,0.5,0,
25343,19.98,19 January 2023 09:15,17 January 2023 10:43,17 January 2023 10:29,17 January 2023 10:33,Online,Participated,0.5,0,
25348,19.11,19 January 2023 09:15,18 January 2023 18:42,16 January 2023 16:44,18 January 2023 18:29,Online,Participated,0.5,0,
24334,20.13,19 January 2023 09:15,17 January 2023 23:29,17 January 2023 23:21,17 January 2023 23:21,Online,Participated,0.5,0,
24335,20.17,19 January 2023 09:15,19 January 2023 17:36,18 January 2023 11:02,18 January 2023 11:06,Online,No-Show (Excused),0,0,
25350,21.3,19 January 2023 09:15,18 January 2023 23:41,16 January 2023 13:14,17 January 2023 11:21,Online,Participated,0.5,0,
25355,20.42,19 January 2023 09:15,16 January 2023 11:21,16 January 2023 11:11,16 January 2023 11:11,Online,Participated,0.5,0,
24350,20.03,19 January 2023 09:15,17 January 2023 12:53,17 January 2023 10:28,17 January 2023 12:42,Online,Participated,0.5,0,
24356,20.38,19 January 2023 09:15,19 January 2023 17:36,16 January 2023 11:28,,Online,No-Show (Excused),0,0,
25373,19.21,19 January 2023 09:15,17 January 2023 13:23,17 January 2023 09:54,17 January 2023 09:54,Online,Participated,0.5,0,
24360,20.4,19 January 2023 09:15,16 January 2023 10:35,16 January 2023 10:23,16 January 2023 10:23,Online,Participated,0.5,0,
25374,20.52,19 January 2023 09:15,17 January 2023 10:42,17 January 2023 10:32,17 January 2023 10:33,Online,Participated,0.5,0,
25385,19.54,19 January 2023 09:15,18 January 2023 18:35,18 January 2023 18:19,18 January 2023 18:19,Online,Participated,0.5,0,
24370,21.49,19 January 2023 09:15,17 January 2023 12:06,17 January 2023 09:31,17 January 2023 11:54,Online,Participated,0.5,0,
24371,21.52,19 January 2023 09:15,17 January 2023 11:50,17 January 2023 11:40,17 January 2023 11:40,Online,Participated,0.5,0,
23474,21.18,19 January 2023 09:15,19 January 2023 17:36,16 January 2023 13:59,,Online,No-Show (Excused),0,0,
25399,19.99,19 January 2023 09:15,17 January 2023 17:35,17 January 2023 17:20,17 January 2023 17:21,Online,Participated,0.5,0,
24376,19.8,19 January 2023 09:15,17 January 2023 18:12,17 January 2023 18:02,17 January 2023 18:02,Online,Participated,0.5,0,
24441,20.5,19 January 2023 09:15,18 January 2023 19:56,16 January 2023 15:48,16 January 2023 15:48,Online,Participated,0.5,0,
25405,19.54,19 January 2023 09:15,17 January 2023 15:57,16 January 2023 19:40,16 January 2023 20:36,Online,Participated,0.5,0,
25407,19.77,19 January 2023 09:15,16 January 2023 17:22,16 January 2023 17:04,16 January 2023 17:05,Online,Participated,0.5,0,
24383,20.55,19 January 2023 09:15,18 January 2023 08:57,16 January 2023 17:08,18 January 2023 08:50,Online,Participated,0.5,0,
24387,19.87,19 January 2023 09:15,18 January 2023 20:05,17 January 2023 17:57,18 January 2023 19:57,Online,Participated,0.5,0,
25420,19.27,19 January 2023 09:15,16 January 2023 13:08,16 January 2023 12:50,16 January 2023 12:50,Online,Participated,0.5,0,
25697,19.58,24 January 2023 09:30,23 January 2023 02:49,22 January 2023 17:38,23 January 2023 02:38,Online,Participated,0.5,0,
25191,19.65,24 January 2023 09:30,20 January 2023 14:37,20 January 2023 14:26,20 January 2023 14:26,Online,Participated,0.5,0,
25192,20.53,24 January 2023 09:30,20 January 2023 14:14,20 January 2023 14:07,20 January 2023 14:07,Online,Participated,0.5,0,
25700,19.06,24 January 2023 09:30,30 January 2023 09:44,19 January 2023 20:44,20 January 2023 20:54,Online,No-Show (Excused),0,0,
25425,18.89,24 January 2023 09:30,20 January 2023 22:55,20 January 2023 22:42,20 January 2023 22:42,Online,Participated,0.5,0,
24189,20.5,24 January 2023 09:30,21 January 2023 15:56,20 January 2023 18:44,21 January 2023 15:48,Online,Participated,0.5,0,
24192,20.18,24 January 2023 09:30,20 January 2023 23:19,20 January 2023 23:10,20 January 2023 23:10,Online,Participated,0.5,0,
25206,19.93,24 January 2023 09:30,21 January 2023 15:52,21 January 2023 15:35,21 January 2023 15:35,Online,Participated,0.5,0,
24199,21.13,24 January 2023 09:30,23 January 2023 19:17,23 January 2023 19:03,23 January 2023 19:08,Online,Participated,0.5,0,
24124,20.6,24 January 2023 09:30,24 January 2023 09:42,21 January 2023 17:54,21 January 2023 17:54,Online,Participated,0.5,0,
24204,21.1,24 January 2023 09:30,23 January 2023 23:58,22 January 2023 00:20,23 January 2023 23:52,Online,Participated,0.5,0,
24208,21.17,24 January 2023 09:30,23 January 2023 12:32,21 January 2023 23:04,23 January 2023 12:17,Online,Participated,0.5,0,
24210,21.63,24 January 2023 09:30,21 January 2023 15:26,21 January 2023 15:08,21 January 2023 15:16,Online,Participated,0.5,0,
24212,21.45,24 January 2023 09:30,23 January 2023 18:18,23 January 2023 18:11,23 January 2023 18:11,Online,Participated,0.5,0,
24216,20.71,24 January 2023 09:30,24 January 2023 07:58,22 January 2023 10:37,24 January 2023 07:48,Online,Participated,0.5,0,
24217,19.84,24 January 2023 09:30,30 January 2023 09:44,23 January 2023 21:16,,Online,No-Show (Excused),0,0,
25710,20.7,24 January 2023 09:30,30 January 2023 09:44,22 January 2023 18:22,,Online,No-Show (Excused),0,0,
25711,25.05,24 January 2023 09:30,30 January 2023 09:44,19 January 2023 21:56,19 January 2023 21:56,Online,No-Show (Excused),0,0,
24130,19.99,24 January 2023 09:30,22 January 2023 12:32,22 January 2023 12:21,22 January 2023 12:21,Online,Participated,0.5,0,
24228,20.15,24 January 2023 09:30,23 January 2023 23:26,20 January 2023 20:52,23 January 2023 23:20,Online,Participated,0.5,0,
24230,19.72,24 January 2023 09:30,30 January 2023 09:44,20 January 2023 13:28,,Online,No-Show (Excused),0,0,
24132,27.69,24 January 2023 09:30,19 January 2023 20:02,19 January 2023 19:53,19 January 2023 19:53,Online,Participated,0.5,0,
24237,20.26,24 January 2023 09:30,23 January 2023 15:57,23 January 2023 15:34,23 January 2023 15:41,Online,Participated,0.5,0,
24238,20.38,24 January 2023 09:30,23 January 2023 12:55,20 January 2023 00:44,23 January 2023 12:48,Online,Participated,0.5,0,
24239,20.21,24 January 2023 09:30,22 January 2023 14:13,22 January 2023 13:55,22 January 2023 13:55,Online,Participated,0.5,0,
24240,19.76,24 January 2023 09:30,30 January 2023 09:44,21 January 2023 23:26,,Online,No-Show (Excused),0,0,
24246,21.43,24 January 2023 09:30,23 January 2023 12:54,23 January 2023 12:40,23 January 2023 12:43,Online,Participated,0.5,0,
24247,20.71,24 January 2023 09:30,20 January 2023 10:35,20 January 2023 10:23,20 January 2023 10:23,Online,Participated,0.5,0,
24250,28.02,24 January 2023 09:30,23 January 2023 18:27,21 January 2023 11:33,21 January 2023 11:33,Online,Participated,0.5,0,
24253,20.32,24 January 2023 09:30,23 January 2023 23:32,20 January 2023 10:07,23 January 2023 23:21,Online,Participated,0.5,0,
24270,23.78,24 January 2023 09:30,20 January 2023 18:15,20 January 2023 18:04,20 January 2023 18:04,Online,Participated,0.5,0,
23479,27.96,24 January 2023 09:30,30 January 2023 09:44,23 January 2023 09:25,,Online,No-Show (Excused),0,0,
25288,19.52,24 January 2023 09:30,21 January 2023 17:07,21 January 2023 16:56,21 January 2023 16:56,Online,Participated,0.5,0,
24283,21.06,24 January 2023 09:30,22 January 2023 14:29,22 January 2023 14:22,22 January 2023 14:22,Online,Participated,0.5,0,
24285,20.09,24 January 2023 09:30,20 January 2023 16:08,19 January 2023 21:24,20 January 2023 15:56,Online,Participated,0.5,0,
25728,18.84,24 January 2023 09:30,23 January 2023 17:43,23 January 2023 17:33,23 January 2023 17:33,Online,Participated,0.5,0,
25297,28.58,24 January 2023 09:30,21 January 2023 13:15,20 January 2023 18:29,21 January 2023 12:58,Online,Participated,0.5,0,
24142,22.46,24 January 2023 09:30,30 January 2023 09:44,20 January 2023 20:56,,Online,No-Show (Excused),0,0,
24290,20.65,24 January 2023 09:30,20 January 2023 09:22,20 January 2023 09:13,20 January 2023 09:13,Online,Participated,0.5,0,
25733,19.33,24 January 2023 09:30,23 January 2023 22:27,22 January 2023 23:08,22 January 2023 23:08,Online,Participated,0.5,0,
25302,18.92,24 January 2023 09:30,23 January 2023 23:59,22 January 2023 10:45,23 January 2023 23:48,Online,Participated,0.5,0,
25829,22.76,24 January 2023 09:30,23 January 2023 12:13,23 January 2023 11:41,23 January 2023 12:04,Online,Participated,0.5,0,
24308,20.34,24 January 2023 09:30,30 January 2023 09:44,22 January 2023 19:45,22 January 2023 19:45,Online,No-Show (Excused),0,0,
25738,19.71,24 January 2023 09:30,23 January 2023 18:31,23 January 2023 16:34,23 January 2023 17:30,Online,Participated,0.5,0,
25311,18.94,24 January 2023 09:30,23 January 2023 16:04,23 January 2023 15:46,23 January 2023 15:46,Online,Participated,0.5,0,
24315,20.67,24 January 2023 09:30,20 January 2023 09:40,20 January 2023 09:23,20 January 2023 09:30,Online,Participated,0.5,0,
24317,20.23,24 January 2023 09:30,30 January 2023 09:45,20 January 2023 00:16,,Online,No-Show (Excused),0,0,
24149,20.05,24 January 2023 09:30,22 January 2023 19:07,22 January 2023 18:46,22 January 2023 18:50,Online,Participated,0.5,0,
24322,19.98,24 January 2023 09:30,30 January 2023 09:45,22 January 2023 19:30,,Online,No-Show (Excused),0,0,
25325,18.99,24 January 2023 09:30,22 January 2023 19:00,22 January 2023 18:48,22 January 2023 18:48,Online,Participated,0.5,0,
25442,24.07,24 January 2023 09:30,30 January 2023 09:45,22 January 2023 02:17,,Online,No-Show (Excused),0,0,
24335,20.17,24 January 2023 09:30,30 January 2023 09:45,19 January 2023 20:01,19 January 2023 20:01,Online,No-Show (Excused),0,0,
24395,20.59,24 January 2023 09:30,20 January 2023 16:55,20 January 2023 16:29,20 January 2023 16:43,Online,Participated,0.5,0,
24336,21.62,24 January 2023 09:30,30 January 2023 09:45,23 January 2023 12:18,,Online,No-Show (Excused),0,0,
25445,19.45,24 January 2023 09:30,20 January 2023 16:48,20 January 2023 16:38,20 January 2023 16:38,Online,Participated,0.5,0,
25754,23.13,24 January 2023 09:30,30 January 2023 09:45,22 January 2023 18:42,,Online,No-Show (Excused),0,0,
24487,20.93,24 January 2023 09:30,30 January 2023 09:45,23 January 2023 15:14,,Online,No-Show (Excused),0,0,
25366,20.26,24 January 2023 09:30,30 January 2023 09:45,21 January 2023 13:43,21 January 2023 13:44,Online,No-Show (Excused),0,0,
24355,20.49,24 January 2023 09:30,23 January 2023 18:10,21 January 2023 15:37,22 January 2023 17:29,Online,Participated,0.5,0,
25380,18.78,24 January 2023 09:30,20 January 2023 21:21,20 January 2023 20:04,20 January 2023 21:13,Online,Participated,0.5,0,
25389,19.22,24 January 2023 09:30,20 January 2023 22:57,20 January 2023 22:48,20 January 2023 22:48,Online,Participated,0.5,0,
24372,21.15,24 January 2023 09:30,30 January 2023 09:45,21 January 2023 00:56,,Online,No-Show (Excused),0,0,
24159,20.78,24 January 2023 09:30,22 January 2023 18:26,22 January 2023 18:17,22 January 2023 18:17,Online,Participated,0.5,0,
25401,19.05,24 January 2023 09:30,23 January 2023 06:05,23 January 2023 05:53,23 January 2023 05:53,Online,Participated,0.5,0,
25409,19.98,24 January 2023 09:30,22 January 2023 13:28,22 January 2023 13:20,22 January 2023 13:20,Online,Participated,0.5,0,
24381,20.84,24 January 2023 09:30,21 January 2023 19:11,19 January 2023 18:50,19 January 2023 18:50,Online,Participated,0.5,0,
25769,18.9,24 January 2023 09:30,21 January 2023 15:36,20 January 2023 14:14,21 January 2023 15:25,Online,Participated,0.5,0,
25417,19.4,24 January 2023 09:30,22 January 2023 13:33,22 January 2023 13:21,22 January 2023 13:21,Online,Participated,0.5,0,
24392,20.18,24 January 2023 09:30,23 January 2023 14:14,22 January 2023 17:10,23 January 2023 12:56,Online,Participated,0.5,0,
